day,Quote,Month
1,My ideal indeed can be put into a few words and that is: to preach unto mankind there divinity and how to make it manifest in every moment of life.,January
2,"Stick to truth and we shall succeed, may be slowly, but surely.",January
3,"No great work, can be achieved by humbug. It is through love, a passion for truth and tremendous energy, that all undertakings or accomplished-therefore, manifest your manhood.",January
4,"Be pure first and you will have power. The chaste brain has tremendous energy and gigantic will-power. Without chastity there can be no spritual strength. Continence gives wonderful control over mankind. The spritual leaders of men have been continent, and this is what gave them power.",January
5,"Have faith in yourselves, great convictions are the mother of great deeds.",January
6,"The man who is pure, and who dares, does all things.",January
7,"Sincerity of conviction and purity of motive will surely gain the day; and even a small minority, armed with these, is surely destined to prevail against all odds.",January
8,"This is the great fact: Strength is life, weakness is death. Strength is felicity, life eternal, immortall; Weakness is constant strain and misery. Weakness is death.",January
9,Infinite faith and strength are the only conditions of success.,January
10,Learn obediance first. Always first learn to be a servantl; and then you will be fit to be a master.,January
11,"What makes you weep, my friend? In you is all power. Sommon up your all powerful nature, O mighty one, this whole universe will lie at your feet. It is the self alone that predominates, and not matter.",January
12,"Perfect sincerity, wholiness, gigantic intellect, and all conquering will. Let only a handful of men worked with these, and the whole world will be revolutionized.",January
13,"The only test of good things is that they make us strong. Good is life, Evil is death.",January
14,"It is the fear that is the cause of our woes, it is fearlessness that brings heaven in a moment.",January
15,"You are lions, you are souls, pure, infinite, and perfect. The might of the universe is within you. Why weepest thou, my friend?",January
16,"Anything that brings spritual, mental, or physical weakness, touch it not with that toes of your feet.",January
17,"Stand up, be bold, be strong. Take the whole responsibility on your own shoulders, and know that you are own creator of your own destiny. All the strength and succour you want is, within yourselves.",January
18,"The pleasure of Self is what the world calls religion. The more our bliss is within, the more spritual we are. Let us not depend upon the world for pleasure.",January
19,"Whatever you do sincerely, is good for you. Even the least thing well-done brings marvellous results; Therefore let everyone do what little he can.",January
20,All misery and pain come from attachment. ,January
21,The gita is like a bouquet composed of beautiful flowers of spritual truths collected from the upanishads.,January
22,"Despondency is not religion, whatever else it may be. By being pleasant always and smiling, it takes you nearer to god, nearer than any prayer.",January
23,"Good motives, sincerity, infinite love can conquer the world. One single soul possed of these virtues can destroy dark designs of millions of hypocrites and brutes.",January
24,"Great enterprise, boundless courage, tremendous energy, above all, perfect obedeince, these are the only traits that lead to individual and national regeneration.",January
25,"The history of the world is that of six men of faith, six men of deep pure character. We need to have three things; the heart to feel; the brain to conceive; the hand to work.",January
26,You have to be practical in all spheres of work. The whole country has been ruined by masses of theories.,January
27,"We want that education by which character is formed, strength of mind is increased, the intellect is expanded, and by which one can stand on one's own feet.",January
28,"The mind uncontrolled and unguided will drag us down, down, forever -- rend us, kill us; and the mind controlled and guided will save us, free us.",January
