day,Quote,Month
1,Purity yourself is first and the while world is bound to be purified then.,February
2,"Truth, Purity, and UnSelfishness - wherever these are present, There is no power below or above the sun to crush the possor there-of. Equipped with these, one individual is able to face the whole universe in opposition.",February
3,"The more longing grows the more will the cloud of obstacales be dispelled, and stronger will faith be established.",February
4,"In eating, dressing, or lying, in singing or playing, in enjoyment or disease, always manifest the highest moral courage. If you can build your character after such an ideal, then a thousand others will follow.",February
5,"The remedy for weakness is not brooding over weakness, but thinking of strength.",February
6,Character has to be established through a thousand stumples.,February
7,"You know but little of that which is within you. For behind you, is the infinite power and blessedness.",February
8,One ounce of practice is worth twenty thousand tons of big talk.,February
9,All the secret of success is there; to pay as much attention to the means as to the end.,February
10,"Imitation, cowardly imitation, never makes for progress.",February
11,"Never mind failures; They are quite natural, they are the beauty of life, these failures. What would life be without them?",February
12,"It is not the receiver that is blessed, but it is the giver.",February
13,Slavery is slavery. The chain of gold is quite as bad as the chain of iron.,February
14,"He who has the slightest desire for wordly pleasure, even a shred of some such craving, will feel frieghtened at the thought of the path you are going to tread.",February
15,"My child, what I want is muscles of iron and nerves of steel, inside which dwells a mind of the same material as that of which the thunderbolt is made. Strength, manhood, kshatra-virya + brahma-teja this I want.",February
16,"It is good and very grand to conquer external nature, but grander still to conquer our internal nature.",February
17,"Fill the brain with high thoughts, highest ideals, place them day and night before you, and out of that will come great work.",February
18,"Whatever you think, that you will be. If you think yourselves weak, weak you will be; If you think yourselves strong, strong you will be.",February
19,"Proclaim to the whole world with trumpet voice, ""There is no sin in you, there is no in misery in you; you are the reservoir of omnipotent power. Arise, awake, and manifest the divinity within"" .",February
20,"Have inifinite patience, and success is yours.",February
21,"Faith, Faith, Faith in our selves. Faith, Faith in god. This is the secret of greatness.",February
22,"As long as, we require somone else to make us happy, we are slaves.",February
23,"Don't repent, Don't brood over past deeds, And don't remember your good deeds; be free. You can't undo, the effect must come, face it, but be careful never to do the same thing again.",February
24,"You have in you all and a thousand times more than is in all the books. Never lose faith in yourself, you can do anything in this universe. Never weaken, all power is yours.",February
25,"Don't spend your energy in talking, but meditate in silence. Accumulate power in silence and become a dynamo of sprituality.",February
26,The difference between god and the devil is in nothing except in unselfishness and selfishness.,February
27,"Be obedient and eternaly faithful to the cause of truth, humanity, and your country and you will move the world.",February
28,"All virtuous actions bring pleasure, all vicious actions bring pain.",February
29,"Character is repeated habits, repeated habits alone can reform character.",February
30,,February
