day,Quote,Month
1,"Those who believe in God should -- Not for money, not health, not for heaven; pray for knowledge and light",November
2,Be strong and healthy; it is the best instrument you have,November
3,Concentration of the mind is the source all knowledge,November
4,"Truth is purity, truth is all-knowledge; truth must be strengthening, must be enlightening, must be invigorating",November
5,"I want bold, daring, adventurous spirits to help me. Else I will work alone. I have a mission to fulfil. If I could get two or three like me, I could have left the world convulsed.",November
6,"Good motives, sincerity, and infinite love can conquer the world. One single soul possessed of these virtues can destory the dark designs of millions of hypocrites and brutes",November
7,In the well-being of one's own nation is one's own well-being,November
8,"Everyone can play the role of a master, but it is very difficult to be a servant",November
9,"Do not lose heart, do not lose faith in your Guru, do not lose faith in God. So long as you possess these three, nothing can harm you.",November
10,"Material science can only give worldly prosperity, whilst spiritual science is for eternal life",November
11,All our actions in this world will determine our future life,November
12,A nation is advanced in proportion as education and intelligence spread among the masses,November
13,"Three things are necessary to the student who wishes to succeed.
1. Give up all ideas of enjoyment in this world and the next
2. Care only for God
3. Care only for Truth",November
14,Truth can never come to us as long as we are selfish.,November
15,It is truth alone that gives strenth.,November
16,"Truth is purity, truth is all-knowledge; truth must be strengthening, must be enlightening, must be invigorating",November
17,"All power is within you. Believe in that, do not believe that you are weak, stand up and express the divinity within you.",November
18,Truth does no pay homage to any society. Society has to pay homage to Truth.,November
19,"Throw all other nonsense to the winds. Spit out your actins, good or bad, and never think of them again. What is done is done. Throw off superstition. Have no weakness even in the face of death. Do not repent, do not brood over past deeds.",November
20,Mystics in every religion speak the same tongue and teach the same truth.,November
21,"Sympathy for the poor, the downtrodden, even unto death - this is our motto.",November
22,"Our sacred mother land (India) is a land of religion and philosophy -- the birth place of spiritual giants -- the land of renunciation, where and where alone, from the most ancient to the most modern times, there has been the highest ideal of life open to man.",November
23,Blessed are they whose bodies get destroyed In the service of others.,November
24,"Everything can be sacrificed for truth, but truth can't be sacrificed for anything.",November
25,Man is born to conquer nature and not to follow it.,November
26,He (God) reveals himself to the pure heart.,November
27,"If I am unhappy, it has been of my own making, and that very thing shows that I can be happy if I will.",November
28,"If you give up that spirituality, leaving it aside to go after the materializing civilization of the West, the result will be that in three generations you will be an extinct race; because the backbone of the nation will be broken, the foundation upon which the national edifice has been built will be undermined, and the result will be annihilation all around.",November
29,"It is verly the sign of awful degradation in a man. Ay, when a man has begun to hate himself, then the last blow has come. When a man has begun to be ashamed of his ancestors, the end has come.",November
30,"Unselfishness is more paying, and people have not the patience to practice it.",November
